0,1,2,3,4,5
0.13234026264679083,0.023554570191975162,-0.36098581550515185,-0.8021475713543822,-1.0656242433813805,-0.7592052048064253
-0.5670504383638459,-0.4925528716285374,0.6904208140369147,-1.1236512560022753,2.043449278303285,0.9192240696325539
-0.17850004891349258,-1.8975120188065986,0.854164469457401,-0.9587775715674584,1.049916141897166,1.3711088742892021
-0.10942442412231891,-0.11980860809150048,0.018210018100183623,-1.5234699407567063,2.805729012270049,1.8359046733646118
-0.10078997102342142,0.25293565544553587,0.8369282952026128,0.05931742981753641,-0.2348249827659189,-0.9012261434128005
1.885134241722829,0.6686888724676155,-0.7315635619830936,0.4179176934632634,0.01355830133561091,-0.4880743220124364
0.6590419016794915,0.7403704616093534,-1.352065835155461,0.44058782507305067,-1.4082218766248698,-1.4951318866758239
0.5208906520971441,1.4141773995416889,-0.5678199065626078,2.095507432587526,-0.6459421426581061,-1.598419842025915
-0.5066092666715685,-0.9513150421356593,0.43187820021509526,-0.8516096766848272,-0.3804289768944018,0.5706272203259967
-0.25621012680356253,-0.6932613212254031,-0.36098581550515185,-0.07052059667488189,0.30476628959257673,-0.7333832159689025
-0.35982356399032367,-0.7362702747104458,-0.18862407295727204,-0.20448046527817068,0.22768182211279175,-0.25567642247473155
-0.023079893133351494,0.09523615933371299,0.7766016853108546,0.2736532195827986,-0.5774226160094081,-0.8366711713189936
-0.37709247018811737,-0.37786232900175676,-0.13691555019290827,0.5230246672904592,0.8186627394578109,-0.38478636666234534
-0.9383319216164056,-0.4495439181434946,0.6990389011643088,-0.6125428342543426,0.06494794632213435,-0.6946502327126184
1.505218305371372,0.7547067794377006,-1.6623169717416446,1.8358313796026893,-0.3290393319078784,-0.5397182996874819
-0.23030676750687254,-1.06600558476244,-0.08520702742854422,-0.6517003343076118,-1.2797477641585613,0.22203037101943945
0.054630184756719664,-1.883175700978251,1.3195411743366765,-0.732076255469585,-0.037831343650912536,0.3640513096258146
-0.8692562968252319,-0.06246333677811043,-0.04211659179157425,-0.9381683610131062,0.7330133311469385,-0.4880743220124364
1.3152603371956433,0.5253256941841399,-0.7918901718748516,1.3906724316286836,0.21055194045061726,-0.4235193499186295
1.0303233849320512,1.285150539086561,-1.0762870470788533,1.2154941419166905,-1.194098355847689,-0.8366711713189936
-0.10078997102342142,-0.7075976390537508,0.664566552654733,0.3478463775784661,0.7244483903158514,0.19620838218191672
-0.2821134861002537,-0.5498981429419274,-0.01626233040939222,0.02015992976426756,-1.3568322316383463,-0.7592052048064253
